state_name,crop_name,seed_cost,fertilizer_cost,manure_cost,pesticide_cost,irrigation_cost,misc_cost,machinery_cost,revenue,total_cost,yield_per_acre
Madhya Pradesh,chickpea,1161.96,440.25,0.0,274.04,72.08,0.92,3580.77,9911.94,5530.02,3.7271605188077945
Madhya Pradesh,chickpea,1208.63,405.39,0.0,187.97,231.42,0.0,3425.69,9759.5,5459.1,3.9861597296695734
Haryana,chickpea,644.41,67.03,0.0,21.07,123.69,0.0,3990.2,9743.02,4846.4,3.5086299346431677
Rajasthan,chickpea,822.06,25.0,0.0,7.12,52.26,0.0,1764.93,6303.5,2671.37,2.3593209364440217
Rajasthan,chickpea,899.43,125.09,0.0,6.15,857.64,0.0,4175.86,14320.04,6064.17,3.2253495477630967
Uttar Pradesh,chickpea,5099.99,1250.91,0.0,10.71,960.74,0.0,10504.97,21489.71,17827.32,2.1812589789765484
Andhra Pradesh,chickpea,4552.84,3928.75,765.61,1690.51,27.22,58.2,9519.66,22321.27,20542.79,2.185305841646264
Rajasthan,chickpea,2053.75,1051.18,0.0,2.71,1772.65,0.0,7558.81,24384.26,12439.100000000002,2.5899921086177944
Andhra Pradesh,chickpea,4653.37,2581.28,1280.76,1612.7,23.94,0.0,17147.46,54233.64,27299.510000000002,6.078387729912385
Uttar Pradesh,chickpea,1344.69,102.46,1.74,1.25,184.15,0.0,4032.96,12543.33,5667.25,4.512251876732563
Bihar,chickpea,3433.7,2426.17,13.93,354.48,106.63,0.0,14678.63,53303.51,21013.54,5.459217741445944
Chhattisgarh,chickpea,2964.75,1505.18,0.0,320.44,1620.5,0.0,8161.54,22852.16,14572.41,2.9703971995710323
Bihar,chickpea,1231.32,58035.0,0.0,104.44,77.2,0.0,3668.33,10138.95,63116.29,2.9663503369013173
Haryana,chickpea,1702.91,0.0,0.0,59.95,518.05,0.0,14843.12,38159.07,17124.03,3.7109730681289332
Jharkhand,chickpea,3588.54,939.16,0.0,0.0,0.0,0.0,4493.56,41510.45,9021.26,4.200643451164485
Maharashtra,chickpea,3051.58,2542.8,80.59,989.55,2791.81,0.0,12132.99,36178.04,21589.32,4.342283644604521
Chhattisgarh,chickpea,2952.23,2111.76,0.0,762.24,1323.07,16.65,6304.08,19278.55,13470.029999999999,3.079662491653346
Bihar,chickpea,4525.41,2117.83,112.98,332.39,87.4,10.18,18907.2,57431.29,26093.39,5.621092248234556
Gujarat,chickpea,3017.18,2314.78,0.0,2178.48,2606.69,89.07,11721.7,38572.54,21927.9,3.4236458185791467
Karnataka,chickpea,2610.89,1962.04,0.0,1338.56,54.0,0.0,8438.31,31432.64,14403.8,4.119706197770179
Madhya Pradesh,chickpea,4041.08,1593.87,0.0,736.52,1659.23,55.0,8949.7,27521.52,17035.4,3.674551304101495
Maharashtra,chickpea,3760.88,2331.2,0.0,890.74,2357.62,0.0,11286.46,41702.0,20626.899999999998,5.414702252079076
Rajasthan,chickpea,1972.9,604.44,0.0,40.66,1192.38,0.0,8247.54,30288.48,12057.920000000002,4.095425021751886
Uttar Pradesh,chickpea,5094.83,864.12,0.0,23.18,527.55,0.0,8028.9,17140.99,14538.58,1.9384472187936304
Madhya Pradesh,chickpea,1294.22,520.55,30.27,45.83,531.27,0.0,5245.46,14608.39,7667.6,4.398939721980534
West Bengal,chickpea,3827.28,589.66,0.0,0.0,0.0,0.0,10607.76,39885.79,15024.7,4.504158151393133
Chhattisgarh,chickpea,4206.34,2874.45,0.0,1675.23,2803.35,33.98,11347.96,49927.68,22941.309999999998,5.329718136015054
Uttar Pradesh,chickpea,5187.27,1569.62,0.0,346.64,1815.88,4.16,22946.67,65217.43,31870.239999999998,5.734404402986585
Rajasthan,chickpea,3512.52,895.19,0.0,158.76,2868.66,16.62,13699.14,48317.03,21150.89,4.775297950264058
Punjab,chickpea,4531.91,2085.11,0.0,2234.04,183.41,342.56,21507.69,50265.96,30884.72,3.33461483984541
Maharashtra,chickpea,3657.64,1766.56,0.0,1343.9,1913.46,41.37,12049.59,44229.34,20772.520000000004,4.338236781934805
Madhya Pradesh,chickpea,5268.11,2235.42,0.0,1260.45,2509.22,61.28,13974.62,47419.58,25309.1,5.107140689180713
Karnataka,chickpea,3379.18,1569.56,0.0,1516.29,423.42,125.34,11345.28,39978.73,18359.07,2.7154448513789684
Jharkhand,chickpea,4637.79,1963.15,143.08,602.27,389.96,0.0,15804.06,50952.65,23540.31,4.164221687137046
Haryana,chickpea,1875.0,0.0,0.0,0.0,58.95,0.0,20840.96,75652.77,22774.91,7.652617308431639
Telangana,chickpea,3935.63,3713.21,0.0,3543.43,31.49,113.48,17696.39,55462.08,29033.629999999997,4.888610105016086
Gujarat,chickpea,4305.57,1806.97,147.24,1919.19,2281.15,80.07,13229.31,57646.27,23769.5,4.945266182392101
Uttar Pradesh,chickpea,2427.2,514.53,58.98,3.47,930.24,0.0,7356.89,24537.38,11291.31,3.884988162926691
Jharkhand,chickpea,3675.23,3000.01,0.0,1268.21,0.0,0.0,14559.13,34932.35,22502.579999999998,2.569757795269217
Haryana,chickpea,1309.62,679.21,0.0,0.0,1518.98,0.0,9555.33,20069.11,13063.14,2.2864774083891466
Andhra Pradesh,chickpea,3365.75,1497.4,556.84,1287.39,12.61,3.9,11897.36,30367.72,18621.25,3.0108658262681858
Bihar,chickpea,2214.96,739.31,0.0,267.28,168.02,0.0,8514.57,29772.08,11904.14,3.528864247991745
Chhattisgarh,chickpea,2640.51,924.28,0.0,769.64,1513.48,0.0,8484.31,23968.69,14332.22,3.735254244147225
Madhya Pradesh,chickpea,5300.02,1976.73,0.0,1451.52,2532.89,86.39,13905.4,55768.52,25252.949999999997,4.702454422209182
Maharashtra,chickpea,4847.6,3170.88,326.98,977.91,2318.44,70.94,15281.17,62348.86,26993.920000000002,5.349952449363631
